ID,Block,PC,PC (Same),PC (Different),Mean RT,Mean RT (C),Mean RT (I),Med RT,Med RT (C),Med RT (I),Max RT,Min RT,Max RT (C),Min RT (C),Max RT (I),Min RT (I),Num 0
MPIB Testv1 Exe Folder,PRACT,0.95,1.00,0.89,784.13,783.38,798.00,722.00,722.00,798.00,1914,498,1914,498,946,650,0
MPIB Testv1 Exe Folder,TRIAL1,0.97,1.00,0.95,913.85,917.54,770.00,850.00,858.00,770.00,1794,586,1794,586,770,770,0
MPIB Testv1 Exe Folder,TRIAL2,0.97,0.95,1.00,924.67,927.41,818.00,802.00,794.00,818.00,2725,538,2725,538,818,818,0
