ID,Block,Presses,Mean RT,Med RT,Max RT,Min RT,First Press,Last Press
MPIB Testv1 Exe Folder,PRACT1,100,195.19,192.00,351,143,192,184
MPIB Testv1 Exe Folder,PRACT2,100,199.46,192.00,527,144,444,232
MPIB Testv1 Exe Folder,TRIAL1,144,138.44,135.00,470,71,470,135
MPIB Testv1 Exe Folder,TRIAL2,131,151.99,144.00,367,88,178,151
