ID,Block,PC,Trials,Mean RT,Mean RT (C),Mean RT (I),Med RT,Med RT (C),Med RT (I),Max RT,Min RT,Max RT (C),Min RT (C),Max RT (I),Min RT (I),Num 0
MPIB Testv1 Exe Folder,PRACT,0.90,35,1151.51,1176.34,934.25,1082.00,1114.00,954.50,2570,818,2570,818,994,834,0
MPIB Testv1 Exe Folder,TRIAL1,0.90,36,1332.00,1333.11,1322.00,1226.00,1226.00,1306.00,3010,810,3010,810,1594,1082,0
MPIB Testv1 Exe Folder,TRIAL2,0.90,36,1435.05,1434.97,1435.75,1437.50,1437.50,1381.50,2651,786,2651,786,2002,978,0
