ID,Block,Presses,Mean RT,Med RT,Max RT,Min RT,First Press,Last Press
MPIB Testv1 Exe Folder,PRACT1,99,185.96,175.00,512,111,151,136
MPIB Testv1 Exe Folder,PRACT2,68,290.96,255.00,568,174,174,280
MPIB Testv1 Exe Folder,TRIAL1,115,173.06,175.00,224,120,180,176
MPIB Testv1 Exe Folder,TRIAL2,84,237.25,223.50,479,38,38,216
