ID,Block,PC,Trials,Mean RT,Mean RT (C),Mean RT (I),Med RT,Med RT (C),Med RT (I),Max RT,Min RT,Max RT (C),Min RT (C),Max RT (I),Min RT (I),Num 0
MPIB Testv1 Exe Folder,PRACT1,0.56,9,4419.22,3340.80,5767.25,3555.00,3323.00,4096.00,12067,2138,4324,2138,12067,2810,0
MPIB Testv1 Exe Folder,TRIAL1,0.30,10,4802.50,3398.33,5404.29,4745.00,3868.00,5053.00,7124,2378,3949,2378,7124,4555,0
MPIB Testv1 Exe Folder,TRIAL2,0.40,10,5069.00,3093.75,6385.83,4505.00,3199.50,6511.50,9195,2035,3941,2035,9195,2955,0
