ID,Block,PC,PC (Same),PC (Different),Mean RT,Mean RT (C),Mean RT (I),Med RT,Med RT (C),Med RT (I),Max RT,Min RT,Max RT (C),Min RT (C),Max RT (I),Min RT (I),Num 0
MPIB Testv1 Exe Folder,PRACT,0.97,1.00,0.95,1028.51,1033.21,850.00,930.00,958.00,850.00,2011,634,2011,634,850,850,0
MPIB Testv1 Exe Folder,TRIAL1,0.97,1.00,0.95,1390.62,1371.46,2138.00,1186.00,1170.00,2138.00,4850,786,4850,786,2138,2138,0
MPIB Testv1 Exe Folder,TRIAL2,0.97,1.00,0.95,1281.88,1287.41,1066.00,1110.50,1114.00,1066.00,3090,746,3090,746,1066,1066,0
