ID,Block,Presses,Mean RT,Med RT,Max RT,Min RT,First Press,Last Press
New folder,PRACT1,118,167.83,160.00,303,112,159,184
New folder,PRACT2,81,244.48,223.00,544,128,293,255
New folder,TRIAL1,111,179.20,175.00,424,103,133,176
New folder,TRIAL2,84,236.43,231.00,520,68,68,247
