ID,Block,PC,Total Response Time,Mean ED,Mean CB,ED 1,ED 2,ED 3,ED 4,ED 5,ED 6,ED 7,ED 8,ED 9,ED 10,ED 11,ED 12,CB 1,CB 2,CB 3,CB 4,CB 5,CB 6,CB 7,CB 8,CB 9,CB 10,CB 11,CB 12
finalDraft,TRIAL1,7,159040,1.30,1.83,0.00,0.00,0.00,0.00,1.41,0.00,5.66,0.00,0.00,0.00,7.07,1.41,0,0,0,3,4,1,4,1,2,0,6,1
finalDraft,TRIAL2,6,148840,2.36,2.83,0.00,0.00,0.00,0.00,1.41,7.07,1.41,4.24,4.24,5.66,4.24,0.00,0,0,0,0,3,8,2,6,5,6,3,1
