ID,Block,PC,Total Response Time,Mean ED,Mean CB,ED 1,ED 2,ED 3,ED 4,ED 5,ED 6,ED 7,ED 8,ED 9,ED 10,ED 11,ED 12,CB 1,CB 2,CB 3,CB 4,CB 5,CB 6,CB 7,CB 8,CB 9,CB 10,CB 11,CB 12
New folder,TRIAL1,4,163789,2.00,3.58,0.00,2.83,1.41,1.41,2.83,4.24,1.41,2.83,0.00,1.41,4.24,1.41,2,4,2,5,4,5,3,6,3,2,4,3
New folder,TRIAL2,4,159972,2.36,2.92,0.00,7.07,1.41,0.00,0.00,4.24,4.24,2.83,2.83,2.83,2.83,0.00,0,8,1,4,0,3,6,2,2,4,4,1
