ID,Block,PC,Total Response Time,Mean ED,Mean CB,ED 1,ED 2,ED 3,ED 4,ED 5,ED 6,ED 7,ED 8,ED 9,ED 10,ED 11,ED 12,CB 1,CB 2,CB 3,CB 4,CB 5,CB 6,CB 7,CB 8,CB 9,CB 10,CB 11,CB 12
New folder,TRIAL1,5,160179,2.47,3.42,0.00,4.24,4.24,1.41,1.41,1.41,1.41,7.07,2.83,1.41,4.24,0.00,0,4,4,6,3,4,2,5,3,2,5,3
New folder,TRIAL2,2,163664,2.59,3.83,5.66,1.41,1.41,1.41,2.83,0.00,1.41,1.41,4.24,5.66,0.00,5.66,7,1,6,5,3,0,4,1,6,7,1,5
