ID,Block,PC,Trials,Mean RT,Mean RT (C),Mean RT (I),Med RT,Med RT (C),Med RT (I),Max RT,Min RT,Max RT (C),Min RT (C),Max RT (I),Min RT (I),Num 0
New folder,PRACT,0.95,37,980.87,985.81,889.5,954.00,954.00,889.5,1874,666,1874,666,969.0,810.0,0
New folder,TRIAL1,0.93,37,914.95,932.97,692.6666666666666,866.00,866.00,658.0,2226,554,2226,682,866.0,554.0,0
New folder,TRIAL2,1.00,40,956.35,956.35,NaN,918.00,918.00,NaN,2239,562,2239,562,NaN,NaN,0
