ID,Block,Presses,Mean RT,Med RT,Max RT,Min RT,First Press,Last Press
1027,PRACT1,122,160.91,160.00,312,312,312,159
1027,PRACT2,97,204.39,199.00,392,200,303,175
1027,TRIAL1,114,174.32,168.00,407,200,407,160
1027,TRIAL2,94,212.20,207.00,375,200,238,232
