ID,Block,PC,Trials,Mean RT,Mean RT (C),Mean RT (I),Med RT,Med RT (C),Med RT (I),Max RT,Min RT,Max RT (C),Min RT (C),Max RT (I),Min RT (I),Num 0
MPIB Testv1 Exe Folder,PRACT,0.97,38,951.38,954.68,826.00,914.00,922.00,826.00,1586,722,1586,722,826,826,0
MPIB Testv1 Exe Folder,TRIAL1,0.95,38,972.10,982.74,770.00,954.00,962.00,770.00,1754,730,1754,738,810,730,0
MPIB Testv1 Exe Folder,TRIAL2,0.90,36,918.50,913.44,964.00,878.00,874.00,974.00,1426,714,1426,714,1082,826,0
