ID,Block,PC,PC (Same),PC (Different),Mean RT,Mean RT (C),Mean RT (I),Med RT,Med RT (C),Med RT (I),Max RT,Min RT,Max RT (C),Min RT (C),Max RT (I),Min RT (I),Num 0
MPIB Testv1 Exe Folder,PRACT,0.92,0.90,0.95,931.74,921.67,1052.67,882.00,874.00,1026.00,1275,739,1275,739,1242,890,0
MPIB Testv1 Exe Folder,TRIAL1,0.90,0.90,0.90,1045.50,1038.81,1105.75,998.50,998.50,1113.50,1426,786,1426,786,1314,882,0
MPIB Testv1 Exe Folder,TRIAL2,0.95,0.90,1.00,1103.97,1103.84,1106.50,1066.00,1066.00,1106.50,1850,770,1850,770,1370,843,0
