ID,Block,PC,Total Response Time,Mean ED,Mean CB,ED 1,ED 2,ED 3,ED 4,ED 5,ED 6,ED 7,ED 8,ED 9,ED 10,ED 11,ED 12,CB 1,CB 2,CB 3,CB 4,CB 5,CB 6,CB 7,CB 8,CB 9,CB 10,CB 11,CB 12
New folder,TRIAL1,10,156662,1.30,2.58,0.00,1.41,0.00,0.00,2.83,0.00,5.66,2.83,0.00,0.00,1.41,1.41,0,6,0,3,4,0,7,6,0,0,2,3
New folder,TRIAL2,9,167412,3.06,3.83,5.66,1.41,4.24,1.41,1.41,4.24,2.83,5.66,2.83,1.41,2.83,2.83,7,1,6,3,3,3,2,4,5,2,6,4
