ID,Block,PC,Total Response Time,Mean ED,Mean CB,ED 1,ED 2,ED 3,ED 4,ED 5,ED 6,ED 7,ED 8,ED 9,ED 10,ED 11,ED 12,CB 1,CB 2,CB 3,CB 4,CB 5,CB 6,CB 7,CB 8,CB 9,CB 10,CB 11,CB 12
MPIB Testv1 Exe Folder,TRIAL1,11,141671,3.42,4.67,7.07,2.83,5.66,0.00,1.41,0.00,1.41,7.07,7.07,4.24,4.24,0.00,9,4,4,3,3,1,1,9,8,4,5,5
MPIB Testv1 Exe Folder,TRIAL2,12,140104,2.83,4.00,5.66,0.00,0.00,1.41,2.83,7.07,2.83,1.41,7.07,0.00,0.00,5.66,6,2,3,1,4,9,6,4,7,1,1,4
