ID,Block,PC,Trials,Mean RT,Mean RT (C),Mean RT (I),Med RT,Med RT (C),Med RT (I),Max RT,Min RT,Max RT (C),Min RT (C),Max RT (I),Min RT (I),Num 0
MPIB Testv1 Exe Folder,PRACT,1.00,39,916.59,916.59,NaN,842.00,842.00,NaN,1754,650,1754,650,NaN,NaN,0
MPIB Testv1 Exe Folder,TRIAL1,0.97,39,945.73,943.67,1026.0,926.00,922.00,1026.0,1570,658,1570,658,1026.0,1026.0,0
MPIB Testv1 Exe Folder,TRIAL2,0.93,37,841.10,837.16,889.6666666666666,806.00,794.00,946.0,1386,618,1386,618,969.0,754.0,0
