ID,Block,PC,PC (Same),PC (Different),Mean RT,Mean RT (C),Mean RT (I),Med RT,Med RT (C),Med RT (I),Max RT,Min RT,Max RT (C),Min RT (C),Max RT (I),Min RT (I),Num 0
MPIB Testv1 Exe Folder,PRACT,0.97,0.95,1.00,722.08,723.13,682.00,714.00,714.00,682.00,913,554,913,554,682,682,0
MPIB Testv1 Exe Folder,TRIAL1,0.90,0.95,0.85,694.90,690.56,734.00,682.00,680.00,726.00,1058,538,1058,538,882,602,0
MPIB Testv1 Exe Folder,TRIAL2,0.88,0.95,0.80,714.48,719.57,678.80,698.00,706.00,690.00,1474,498,1474,498,770,610,0
