ID,Block,PC,Total Response Time,Mean ED,Mean CB,ED 1,ED 2,ED 3,ED 4,ED 5,ED 6,ED 7,ED 8,ED 9,ED 10,ED 11,ED 12,CB 1,CB 2,CB 3,CB 4,CB 5,CB 6,CB 7,CB 8,CB 9,CB 10,CB 11,CB 12
MPIB Testv1 Exe Folder,TRIAL1,9,148756,3.54,4.75,4.24,4.24,0.00,7.07,2.83,1.41,1.41,2.83,5.66,4.24,7.07,1.41,8,3,0,9,3,6,3,6,5,4,7,3
MPIB Testv1 Exe Folder,TRIAL2,7,151939,2.36,3.83,5.66,0.00,2.83,0.00,0.00,1.41,2.83,2.83,1.41,1.41,4.24,5.66,6,0,7,4,4,3,3,5,2,2,4,6
