ID,Block,PC,Trials,Mean RT,Mean RT (C),Mean RT (I),Med RT,Med RT (C),Med RT (I),Max RT,Min RT,Max RT (C),Min RT (C),Max RT (I),Min RT (I),Num 0
MPIB Testv1 Exe Folder,PRACT1,0.33,9,4491.89,3587.00,4944.33,4197.00,3130.00,4712.50,7243,2771,4566,3065,7243,2771,0
MPIB Testv1 Exe Folder,TRIAL1,0.10,10,4870.40,2661.00,5115.89,3909.50,2661.00,4356.00,9852,2661,2661,2661,9852,2852,0
MPIB Testv1 Exe Folder,TRIAL2,0.70,10,3319.60,3117.71,3790.67,2651.50,2619.00,4165.00,7213,1563,7213,1563,4748,2459,0
