ID,Block,PC,Trials,Mean RT,Mean RT (C),Mean RT (I),Med RT,Med RT (C),Med RT (I),Max RT,Min RT,Max RT (C),Min RT (C),Max RT (I),Min RT (I),Num 0
MPIB Testv1 Exe Folder,PRACT,0.95,37,1276.51,1267.35,1446.00,1242.00,1202.00,1446.00,2194,850,2194,850,1458,1434,0
MPIB Testv1 Exe Folder,TRIAL1,0.95,38,1288.88,1285.87,1346.00,1282.00,1250.00,1346.00,2274,842,2274,842,1394,1298,0
MPIB Testv1 Exe Folder,TRIAL2,0.95,38,1339.58,1331.87,1486.00,1270.00,1258.00,1486.00,2354,762,2354,762,1666,1306,0
