ID,Block,PC,PC (Same),PC (Different),Mean RT,Mean RT (C),Mean RT (I),Med RT,Med RT (C),Med RT (I),Max RT,Min RT,Max RT (C),Min RT (C),Max RT (I),Min RT (I),Num 0
MPIB Testv1 Exe Folder,PRACT,1.00,1.00,1.00,940.92,940.92,NaN,883.00,883.00,NaN,1914,714,1914,714,NaN,NaN,0
MPIB Testv1 Exe Folder,TRIAL1,1.00,1.00,1.00,1223.72,1223.72,NaN,1078.00,1078.00,NaN,2890,810,2890,810,NaN,NaN,0
MPIB Testv1 Exe Folder,TRIAL2,1.00,1.00,1.00,1239.38,1239.38,NaN,1138.00,1138.00,NaN,2994,794,2994,794,NaN,NaN,0
