ID,Block,PC,Total RT,Mean ED,Mean CB,ED 1,ED 2,ED 3,ED 4,ED 5,ED 6,ED 7,ED 8,ED 9,ED 10,ED 11,ED 12,CB 1,CB 2,CB 3,CB 4,CB 5,CB 6,CB 7,CB 8,CB 9,CB 10,CB 11,CB 12
1028,TRIAL1,10,165157,1.30,2.33,0.00,0.00,0.00,1.41,1.41,1.41,1.41,0.00,0.00,5.66,4.24,0.00,0,0,0,6,3,6,3,0,0,6,4,0
1028,TRIAL2,5,153973,1.53,2.08,1.41,0.00,0.00,0.00,1.41,1.41,1.41,1.41,5.66,2.83,0.00,2.83,1,0,0,0,1,1,4,4,6,4,0,4
