ID,Block,PC,Total Response Time,Mean ED,Mean CB,ED 1,ED 2,ED 3,ED 4,ED 5,ED 6,ED 7,ED 8,ED 9,ED 10,ED 11,ED 12,CB 1,CB 2,CB 3,CB 4,CB 5,CB 6,CB 7,CB 8,CB 9,CB 10,CB 11,CB 12
New folder,TRIAL1,11,152429,3.18,4.58,4.24,0.00,0.00,0.00,4.24,5.66,0.00,5.66,7.07,5.66,4.24,1.41,3,5,1,4,4,8,1,7,8,5,4,5
New folder,TRIAL2,7,183298,2.71,3.25,4.24,0.00,4.24,4.24,4.24,4.24,2.83,1.41,2.83,1.41,1.41,1.41,6,0,6,6,4,4,2,2,2,1,4,2
