ID,Block,PC,Trials,Mean RT,Mean RT (C),Mean RT (I),Med RT,Med RT (C),Med RT (I),Max RT,Min RT,Max RT (C),Min RT (C),Max RT (I),Min RT (I),Num 0
MPIB Testv1 Exe Folder,PRACT1,0.44,9,3735.22,3487.75,3933.20,3373.00,2824.00,3373.00,6508,1795,6508,1795,5099,3227,0
MPIB Testv1 Exe Folder,TRIAL1,0.50,10,3194.00,2575.00,3813.00,2835.00,2404.00,2972.00,7668,1851,3508,1851,7668,2595,0
MPIB Testv1 Exe Folder,TRIAL2,0.90,10,3073.90,2834.56,5228.00,2439.50,2378.00,5228.00,5465,1469,5465,1469,5228,5228,0
