ID,Block,PC,PC (Same),PC (Different),Mean RT,Mean RT (C),Mean RT (I),Med RT,Med RT (C),Med RT (I),Max RT,Min RT,Max RT (C),Min RT (C),Max RT (I),Min RT (I),Num 0
MPIB Testv1 Exe Folder,PRACT,0.95,0.90,1.00,1363.77,1358.46,1462.00,1314.00,1298.00,1462.00,2570,698,2570,698,1610,1314,0
MPIB Testv1 Exe Folder,TRIAL1,0.95,0.90,1.00,1227.88,1236.18,1070.00,1194.00,1206.00,1070.00,2130,642,2130,642,1186,954,0
MPIB Testv1 Exe Folder,TRIAL2,0.93,0.90,0.95,1528.85,1537.41,1423.33,1350.00,1346.00,1482.00,3810,762,3810,762,1634,1154,0
