ID,Block,Presses,Mean RT,Med RT,Max RT,Min RT,First Press,Last Press
MPIB Testv1 Exe Folder,PRACT1,75,213.81,215.00,263,175,248,216
MPIB Testv1 Exe Folder,PRACT2,85,234.24,215.00,1385,136,1385,231
MPIB Testv1 Exe Folder,TRIAL1,98,203.30,195.50,775,66,66,207
MPIB Testv1 Exe Folder,TRIAL2,87,227.16,223.00,605,80,605,255
