ID,Block,PC,Total Response Time,Mean ED,Mean CB,ED 1,ED 2,ED 3,ED 4,ED 5,ED 6,ED 7,ED 8,ED 9,ED 10,ED 11,ED 12,CB 1,CB 2,CB 3,CB 4,CB 5,CB 6,CB 7,CB 8,CB 9,CB 10,CB 11,CB 12
MPIB Testv1 Exe Folder,TRIAL1,11,151073,2.36,3.92,0.00,2.83,0.00,0.00,1.41,1.41,5.66,2.83,5.66,1.41,5.66,1.41,0,6,4,3,3,2,5,6,6,5,4,3
MPIB Testv1 Exe Folder,TRIAL2,10,147039,2.47,2.83,5.66,0.00,0.00,0.00,0.00,5.66,1.41,0.00,4.24,1.41,4.24,7.07,6,0,0,0,1,5,2,0,5,3,4,8
