ID,Block,PC,Trials,Mean RT,Mean RT (C),Mean RT (I),Med RT,Med RT (C),Med RT (I),Max RT,Min RT,Max RT (C),Min RT (C),Max RT (I),Min RT (I),Num 0
MPIB Testv1 Exe Folder,PRACT,0.97,38,865.64,873.18,579.0,842.00,850.00,579.0,1474,579,1474,642,579.0,579.0,0
MPIB Testv1 Exe Folder,TRIAL1,1.00,40,898.67,898.67,NaN,882.00,882.00,NaN,1346,658,1346,658,NaN,NaN,0
MPIB Testv1 Exe Folder,TRIAL2,0.97,39,776.10,779.54,642.0,754.50,755.00,642.0,1154,578,1154,578,642.0,642.0,0
