ID,Block,PC,PC (Same),PC (Different),Mean RT,Mean RT (C),Mean RT (I),Med RT,Med RT (C),Med RT (I),Max RT,Min RT,Max RT (C),Min RT (C),Max RT (I),Min RT (I),Num 0
MPIB Testv1 Exe Folder,PRACT,0.92,1.00,0.84,843.10,841.19,866.00,802.00,798.50,818.00,1434,499,1434,499,1002,778,0
MPIB Testv1 Exe Folder,TRIAL1,0.93,1.00,0.85,1003.08,1008.35,938.00,914.00,922.00,906.00,2354,669,2354,669,1026,882,0
MPIB Testv1 Exe Folder,TRIAL2,0.93,0.90,0.95,974.90,956.92,1196.67,906.00,883.00,1162.00,2050,665,2050,665,1442,986,0
