ID,Block,PC,Trials,Mean RT,Mean RT (C),Mean RT (I),Med RT,Med RT (C),Med RT (I),Max RT,Min RT,Max RT (C),Min RT (C),Max RT (I),Min RT (I),Num 0
MPIB Testv1 Exe Folder,PRACT,0.87,39,1467.69,1468.47,1462.40,1399.00,1382.50,1639.00,2229,878,2229,943,1735,878,0
MPIB Testv1 Exe Folder,TRIAL1,0.80,40,1509.97,1460.62,1707.38,1391.00,1363.00,1703.50,2583,959,2583,959,2279,1031,0
MPIB Testv1 Exe Folder,TRIAL2,0.78,40,1417.92,1442.35,1333.78,1391.00,1376.00,1456.00,2760,568,2760,799,1639,568,0
