ID,Block,PC,Total Response Time,Mean ED,Mean CB,ED 1,ED 2,ED 3,ED 4,ED 5,ED 6,ED 7,ED 8,ED 9,ED 10,ED 11,ED 12,CB 1,CB 2,CB 3,CB 4,CB 5,CB 6,CB 7,CB 8,CB 9,CB 10,CB 11,CB 12
MPIB Testv1 Exe Folder,TRIAL1,6,154412,2.47,4.08,0.00,1.41,0.00,2.83,2.83,2.83,5.66,5.66,0.00,4.24,4.24,0.00,0,1,4,6,3,7,4,7,2,6,6,3
MPIB Testv1 Exe Folder,TRIAL2,8,160995,2.00,2.92,0.00,0.00,0.00,1.41,0.00,7.07,2.83,1.41,0.00,1.41,2.83,7.07,0,0,0,4,0,7,2,4,2,2,6,8
