ID,Block,Presses,Mean RT,Med RT,Max RT,Min RT,First Press,Last Press
MPIB Testv1 Exe Folder,PRACT1,134,145.16,144.00,184,8,168,168
MPIB Testv1 Exe Folder,PRACT2,122,162.92,159.00,319,104,283,104
MPIB Testv1 Exe Folder,TRIAL1,132,150.88,151.00,230,8,230,200
MPIB Testv1 Exe Folder,TRIAL2,119,166.66,160.00,524,0,276,144
