ID,Block,Presses,Mean RT,Med RT,Max RT,Min RT,First Press,Last Press
New folder,PRACT1,95,206.73,207.00,279,80,200,215
New folder,PRACT2,84,237.49,236.00,336,184,265,271
New folder,TRIAL1,119,167.08,160.00,351,103,237,327
New folder,TRIAL2,80,248.16,223.50,1400,168,175,247
