ID,Block,Presses,Mean RT,Med RT,Max RT,Min RT,First Press,Last Press
mainDev,PRACT1,167,117.13,112.00,392,248,95,119
mainDev,PRACT2,136,146.12,136.00,392,207,273,143
mainDev,TRIAL1,159,124.63,119.00,343,200,221,127
mainDev,TRIAL2,149,133.59,127.00,376,208,33,168
