ID,Block,PC,Total RT,Mean ED,Mean CB,ED 1,ED 2,ED 3,ED 4,ED 5,ED 6,ED 7,ED 8,ED 9,ED 10,ED 11,ED 12,CB 1,CB 2,CB 3,CB 4,CB 5,CB 6,CB 7,CB 8,CB 9,CB 10,CB 11,CB 12
mainDev,TRIAL1,3,142309,2.36,3.08,0.00,2.83,5.66,0.00,2.83,2.83,1.41,2.83,5.66,1.41,2.83,0.00,0,3,8,0,3,2,3,5,4,3,4,2
mainDev,TRIAL2,5,147193,1.53,2.00,0.00,0.00,0.00,1.41,1.41,0.00,4.24,2.83,4.24,0.00,1.41,2.83,0,0,0,1,3,0,6,3,4,0,4,3
