ID,Block,Presses,Mean RT,Med RT,Max RT,Min RT,First Press,Last Press
New folder,PRACT2,115,171.43,167.00,448,64,128,191
New folder,TRIAL1,138,144.43,144.00,262,112,262,143
New folder,TRIAL2,109,182.09,176.00,509,103,509,167
