ID,Block,PC,Total RT,Mean ED,Mean CB,ED 1,ED 2,ED 3,ED 4,ED 5,ED 6,ED 7,ED 8,ED 9,ED 10,ED 11,ED 12,CB 1,CB 2,CB 3,CB 4,CB 5,CB 6,CB 7,CB 8,CB 9,CB 10,CB 11,CB 12
1025,TRIAL1,8,152822,1.89,2.67,0.00,0.00,0.00,0.00,1.41,1.41,1.41,4.24,5.66,0.00,7.07,1.41,0,0,0,2,4,5,5,4,5,0,5,2
1025,TRIAL2,7,155438,1.77,2.67,5.66,1.41,1.41,1.41,0.00,1.41,0.00,2.83,1.41,0.00,2.83,2.83,7,4,2,2,0,2,3,5,3,0,2,2
