ID,Block,Presses,Mean RT,Med RT,Max RT,Min RT,First Press,Last Press
New folder,PRACT1,110,178.51,176.00,208,127,160,207
New folder,PRACT2,100,199.03,195.50,555,136,555,231
New folder,TRIAL1,102,194.75,192.00,345,143,345,184
New folder,TRIAL2,91,216.65,216.00,307,160,307,223
