ID,Block,PC,PC (Same),PC (Different),Mean RT,Mean RT (C),Mean RT (I),Med RT,Med RT (C),Med RT (I),Max RT,Min RT,Max RT (C),Min RT (C),Max RT (I),Min RT (I),Num 0
MPIB Testv1 Exe Folder,PRACT,0.87,0.95,0.79,1152.33,1182.44,947.6,1025.00,1081.50,818.0,2330,714,2330,778,1442.0,714.0,0
MPIB Testv1 Exe Folder,TRIAL1,1.00,1.00,1.00,1137.47,1137.47,NaN,1010.00,1010.00,NaN,2042,754,2042,754,NaN,NaN,0
MPIB Testv1 Exe Folder,TRIAL2,0.95,1.00,0.90,1223.67,1229.45,1114.0,1090.00,1090.00,1114.0,2266,746,2266,826,1482.0,746.0,0
