ID,Block,PC,Trials,Mean RT,Mean RT (C),Mean RT (I),Med RT,Med RT (C),Med RT (I),Max RT,Min RT,Max RT (C),Min RT (C),Max RT (I),Min RT (I),Num 0
MPIB Testv1 Exe Folder,PRACT,0.85,39,1780.59,1757.48,1907.67,1686.00,1686.00,1578.00,3638,774,2823,774,3638,1174,0
MPIB Testv1 Exe Folder,TRIAL1,0.85,40,1727.95,1723.94,1750.67,1675.00,1671.00,1699.00,3175,879,3175,879,2119,1318,0
MPIB Testv1 Exe Folder,TRIAL2,0.75,40,1798.62,1678.00,2160.50,1664.00,1576.00,2159.50,3240,968,3240,968,3199,1215,0
